Name	Phone	Site	Adresse	Activité
 Clovis Location Locatrans VI Franchisé indépendant 	04 74 45 82 80 		 506 rte de Strasbourg, 01440 VIRIAT	 location de camions, de véhicules industriels 
 Iveco Garage Chaumontet Agent 	04 50 48 15 79 , 04 50 56 01 22 		 49 av Saint Exupéry, 01200 BELLEGARDE SUR VALSERINE	 garages poids lourds 
 Iveco Garage Chaumontet Agent 	04 50 42 19 78 		 304 r Salève, 01630 SAINT GENIS POUILLY	 garages poids lourds 
 Clovis Location Locatrans VI Franchisé indépendant 	04 74 45 82 80 		 506 rte de Strasbourg, 01440 VIRIAT	 location de camions, de véhicules industriels 
 Cayon Groupe 	04 74 45 30 20 		 zone artisanale Saint Amouze, 01250 MONTAGNAT	 location de camions, de véhicules industriels 
 Clovis Location Locatrans VI Franchisé indépendant  	04 74 45 82 80 		 parc Entreprise, ZI, 01120 MONTLUEL	 location de camions, de véhicules industriels 
 Gonnet R Et Fils SARL 	04 74 21 03 82 , 04 74 32 06 65 		 511 all Thioudet, 01960 PÉRONNAS	 garages poids lourds 
 Millon (SAS) 	04 74 23 48 83 , 04 74 23 51 45 		 zone artisanale Saint Amouze, 01250 MONTAGNAT	 location de camions, de véhicules industriels 
 Iveco Garage Chaumontet Agent 	09 72 57 68 57 , 04 74 76 04 43 		 144 imp des fougères, ZI Ouest Champagne, 01580 IZERNORE	 garages poids lourds 
 Iveco Serma Poids Lourds Distrib. agréé 	04 74 23 19 55 , 04 74 23 83 09 , 04 74 23 83 01 		 r de la Craz, CS 50030, 01442 VIRIAT CEDEX	 garages poids lourds 
 Millon (SAS) 	04 74 23 51 45 		 chem Pognat, 01460 BRION	 location de camions, de véhicules industriels 
 Mercedes-Benz Etoile 01 Concessionnaire 	04 74 22 65 46 		 24 av du Maréchal Juin, 01000 BOURG EN BRESSE	 agents, concessionnaires, succursales de camions, de véhicules industriels,  garages poids lourds 
 Caillot Dépannage Poids Lourds 	 07 83 27 29 44 		 180 r Charollaise, 01440 VIRIAT	 agents, concessionnaires, succursales de camions, de véhicules industriels 
